"","manufacturer","model","class"
"1","audi","a4","compact"
"2","audi","a4","compact"
"3","audi","a4","compact"
"4","chevrolet","malibu","midsize"
"5","honda","civic","subcompact"
"6","honda","civic","subcompact"
"7","honda","civic","subcompact"
"8","honda","civic","subcompact"
"9","honda","civic","subcompact"
"10","honda","civic","subcompact"
"11","honda","civic","subcompact"
"12","honda","civic","subcompact"
"13","honda","civic","subcompact"
"14","hyundai","sonata","midsize"
"15","hyundai","sonata","midsize"
"16","nissan","altima","compact"
"17","nissan","altima","midsize"
"18","nissan","altima","midsize"
"19","toyota","camry","midsize"
"20","toyota","camry","midsize"
"21","toyota","camry","midsize"
"22","toyota","camry solara","compact"
"23","toyota","camry solara","compact"
"24","toyota","camry solara","compact"
"25","toyota","corolla","compact"
"26","toyota","corolla","compact"
"27","toyota","corolla","compact"
"28","toyota","corolla","compact"
"29","toyota","corolla","compact"
"30","volkswagen","gti","compact"
"31","volkswagen","gti","compact"
"32","volkswagen","gti","compact"
"33","volkswagen","jetta","compact"
"34","volkswagen","jetta","compact"
"35","volkswagen","jetta","compact"
"36","volkswagen","jetta","compact"
"37","volkswagen","jetta","compact"
"38","volkswagen","jetta","compact"
"39","volkswagen","new beetle","subcompact"
"40","volkswagen","new beetle","subcompact"
"41","volkswagen","new beetle","subcompact"
"42","volkswagen","passat","midsize"
"43","volkswagen","passat","midsize"
